국가,위중증,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,사망자합계,사망자1일,완치합계,완치1일
레위니옹🇷🇪,32,0.8,92.6,31767,895312,28441,,220,,26333,
프랑스령 기아나🇬🇫,36,0.5,37.5,89215,298682,26647,+197,142,+5,9995,
시리아🇸🇾,N/A,7.3,86.4,1438,17500658,25158,+40,1848,+3,21747,+9
가봉🇬🇦,17,0.6,97.6,11171,2225734,24864,,158,,24264,
기니🇬🇳,24,0.7,94.7,1792,13132795,23535,+85,168,,22282,+32
모리타니🇲🇷,16,2.4,95.4,4380,4649658,20365,+29,481,,19438,+25
수리남🇸🇷,36,2.3,76.6,34333,586632,20141,+116,467,+7,15424,+101
마요트🇾🇹,6,0.9,15.3,71070,272815,19389,,174,,2964,
가이아나🇬🇾,21,2.3,89.4,24278,786552,19096,,447,,17073,
프랑스령 폴리네시아🇵🇫,N/A,0.7,99.1,67538,280908,18972,+9,142,,18805,+18
에스와티니🇸🇿,10,3.6,95.8,16216,1160164,18813,,677,,18017,
아이티🇭🇹,N/A,2.2,72.9,1523,11402528,17371,,385,,12667,
파푸아뉴기니🇵🇬,7,1.0,96.4,1902,8947024,17013,,173,,16396,
과들루프🇬🇵,23,1.4,13.4,41867,400124,16752,,229,,2250,
소말리아🇸🇴,N/A,5.2,48.5,935,15893222,14867,+15,775,,7204,+54
말리🇲🇱,N/A,3.6,69.8,710,20250833,14385,+4,524,,10036,+3
세이셸🇸🇨,N/A,0.4,88.5,143604,98347,14123,,55,,12505,
대만🇹🇼,N/A,4.0,53.5,591,23816775,14080,,569,,7534,+6401
안도라🇦🇩,3,0.9,98.6,179434,77265,13864,,127,,13665,
토고🇹🇬,N/A,0.9,97.3,1657,8278724,13721,,128,,13355,
베트남🇻🇳,N/A,0.5,40.4,139,97338579,13483,,69,+2,5453,
부르키나파소🇧🇫,N/A,1.2,98.7,644,20903273,13469,,167,,13293,
타지키스탄🇹🇯,N/A,0.7,99.3,1395,9537645,13308,,90,,13218,
벨리즈🇧🇿,1,2.5,96.5,32704,397628,13004,,328,,12551,
퀴라소🇨🇼,4,1.0,98.7,75067,164093,12318,,125,,12160,
콩고공화국🇨🇬,N/A,1.3,91.2,2229,5518087,12298,,161,,11211,
바하마🇧🇸,3,2.0,91.3,31266,393244,12295,,241,,11230,
마르티니크🇲🇶,5,0.8,0.8,32452,375265,12178,,98,,98,
홍콩🇭🇰,N/A,1.8,97.7,1586,7496981,11889,,210,,11616,+2
지부티🇩🇯,N/A,1.3,98.6,11728,988000,11587,,155,,11427,
아루바🇦🇼,14,1.0,98.8,104078,106766,11112,+4,107,,10975,+2
레소토🇱🇸,N/A,3.0,58.2,5173,2142249,11081,,329,,6445,
남수단🇸🇸,N/A,1.1,97.6,962,11193725,10770,,115,,10514,
동티모르🇹🇱,N/A,0.2,87.8,6620,1318445,8728,,19,,7667,
적도 기니🇬🇶,1,1.4,97.5,6207,1402985,8708,+10,120,,8489,
베냉🇧🇯,5,1.3,98.0,671,12123200,8140,,103,,7979,
니카라과🇳🇮,N/A,2.4,54.9,1162,6624554,7696,,188,,4225,
중앙아프리카 공화국🇨🇫,2,1.4,96.6,1470,4829767,7101,,98,,6859,
예멘🇾🇪,23,19.7,57.5,231,29825964,6889,+4,1355,,3958,+5
아이슬란드🇮🇸,1,0.5,99.2,19420,341243,6627,,30,,6576,
감비아🇬🇲,3,3.0,96.7,2493,2416668,6024,,181,,5827,
니제르🇳🇪,2,3.5,94.7,226,24206644,5469,,193,,5178,
에리트레아🇪🇷,N/A,0.4,89.9,1512,3546421,5362,,19,,4818,
세인트루시아🇱🇨,N/A,1.5,97.0,28405,183627,5216,,80,,5061,
부룬디🇧🇮,N/A,0.2,15.1,431,11890784,5121,,8,,773,
산마리노🇸🇲,N/A,1.8,98.2,150010,33931,5090,,90,,4999,
차드🇹🇩,N/A,3.5,96.4,301,16425864,4947,+1,174,,4768,
시에라리온🇸🇱,N/A,1.7,67.8,604,7976983,4816,,82,,3264,
지브롤터🇬🇮,N/A,2.2,97.5,128254,33691,4321,,94,,4211,
바베이도스🇧🇧,N/A,1.2,98.6,14069,287375,4043,,47,,3986,
코모로🇰🇲,N/A,3.7,95.8,4494,869601,3908,,146,,3745,
기니비사우🇬🇼,4,1.8,93.0,1944,1968001,3825,,69,,3558,
리히텐슈타인🇱🇮,3,1.9,97.7,79364,38128,3026,,59,,2955,
라이베리아🇱🇷,2,3.2,70.3,592,5057681,2995,,95,,2105,
뉴질랜드🇳🇿,N/A,1.0,98.2,564,4822233,2720,,26,,2671,
신트마르턴🇸🇽,2,1.2,96.4,59940,42876,2570,,32,,2477,
모나코🇲🇨,1,1.3,97.3,64956,39242,2549,+1,33,,2481,+7
버뮤다🇧🇲,7,1.3,98.3,40207,62278,2504,,33,,2461,
터크스 케이커스 제도🇹🇨,2,0.7,98.6,62608,38717,2424,,18,,2389,
상투메 프린시페🇸🇹,N/A,1.6,98.0,10778,219159,2362,,37,,2314,
세인트빈센트 그레나딘🇻🇨,2,0.5,88.2,19785,110940,2195,,12,,1935,
세인트마틴 섬🇲🇫,7,0.6,65.6,55165,38666,2133,,12,,1399,
피지🇫🇯,2,0.3,25.5,2331,896445,2090,,7,,532,
라오스🇱🇦,N/A,0.1,94.8,282,7275560,2054,,3,,1948,
부탄🇧🇹,N/A,0.1,87.1,2493,771608,1924,,1,,1676,
모리셔스🇲🇺,N/A,1.1,74.4,1338,1271768,1701,,18,,1265,
카리브 네덜란드🇧🇶,N/A,1.0,98.0,62235,26223,1632,,17,,1599,
맨섬🇮🇲,1,1.8,97.9,18804,85033,1599,,29,,1566,
앤티가 바부다🇦🇬,N/A,3.3,96.7,12897,97929,1263,,42,,1221,
생바르텔레미🇧🇱,N/A,0.1,46.0,101752,9877,1005,,1,,462,
페로 제도🇫🇴,N/A,0.1,98.6,15676,48863,766,,1,,755,
케이맨 제도🇰🇾,N/A,0.3,96.5,9251,65722,608,,2,,587,
탄자니아🇹🇿,7,4.1,36.0,9,59734218,509,,21,,183,
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,445,,7,,438,
세인트키츠 네비스🇰🇳,1,0.3,22.0,6410,53199,341,,1,,75,
브루나이🇧🇳,N/A,1.2,95.7,583,437479,255,,3,,244,
영국령 버진아일랜드🇻🇬,N/A,0.4,84.3,8203,30231,248,,1,,209,
도미니카 연방🇩🇲,N/A,-,99.0,2653,71986,191,,0,,189,
그레나다🇬🇩,N/A,0.6,99.4,1431,112523,161,,1,,160,
뉴칼레도니아🇳🇨,N/A,-,45.0,452,285498,129,,0,,58,
앵귈라🇦🇮,N/A,-,100,7265,15003,109,,0,,109,
포클랜드 제도🇫🇰,N/A,-,100,18103,3480,63,,0,,63,
마카오🇲🇴,N/A,-,96.2,82,649335,53,,0,,51,
그린란드🇬🇱,N/A,-,81.6,863,56770,49,,0,,40,
바티칸 시국🇻🇦,N/A,-,100,33708,801,27,,0,,27,
생피에르 미클롱🇵🇲,N/A,-,96.2,4487,5794,26,,0,,25,
몬트세랫🇲🇸,N/A,5,95,4006,4992,20,,1,,19,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,20,,0,,20,
서사하라🇪🇭,N/A,10,80,17,597339,10,,1,,8,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,9,,2,,7,
마셜 제도🇲🇭,N/A,-,100,68,59190,4,,0,,4,
바누아투🇻🇺,N/A,25,75,13,307145,4,,1,,3,
사모아🇼🇸,N/A,-,100,15,198414,3,,0,,3,
세인트헬레나🇸🇭,N/A,-,100,329,6077,2,,0,,2,
미크로네시아🇫🇲,N/A,-,100,9,115023,1,,0,,1,
