accumulatedFirstCnt,accumulatedSecondCnt,baseDate,firstCnt,secondCnt,sido,totalFirstCnt,totalSecondCnt
18553,0,2021-03-15 00:00:00,0,0,강원도,18553,0
16787,0,2021-03-15 00:00:00,0,0,충청북도,16787,0
26314,0,2021-03-15 00:00:00,22,0,충청남도,26336,0
26918,0,2021-03-15 00:00:00,0,0,전라북도,26918,0
30195,0,2021-03-15 00:00:00,0,0,전라남도,30195,0
32351,0,2021-03-15 00:00:00,0,0,경상북도,32351,0
46734,0,2021-03-15 00:00:00,31,0,경상남도,46765,0
5737,0,2021-03-15 00:00:00,0,0,제주특별자치도,5737,0
590228,0,2021-03-16 00:00:00,11922,0,전국,602150,0
99141,0,2021-03-16 00:00:00,3293,0,서울특별시,102434,0
45936,0,2021-03-16 00:00:00,878,0,부산광역시,46814,0
29134,0,2021-03-16 00:00:00,358,0,대구광역시,29492,0
17396,0,2021-03-16 00:00:00,429,0,대전광역시,17825,0
30759,0,2021-03-16 00:00:00,501,0,인천광역시,31260,0
25440,0,2021-03-16 00:00:00,339,0,광주광역시,25779,0
1146,0,2021-03-16 00:00:00,0,0,세종특별자치시,1146,0
127365,0,2021-03-16 00:00:00,2798,0,경기도,130163,0
10211,0,2021-03-16 00:00:00,130,0,울산광역시,10341,0
18554,0,2021-03-16 00:00:00,654,0,강원도,19208,0
16794,0,2021-03-16 00:00:00,248,0,충청북도,17042,0
26348,0,2021-03-16 00:00:00,247,0,충청남도,26595,0
26918,0,2021-03-16 00:00:00,246,0,전라북도,27164,0
30226,0,2021-03-16 00:00:00,563,0,전라남도,30789,0
32354,0,2021-03-16 00:00:00,671,0,경상북도,33025,0
46769,0,2021-03-16 00:00:00,454,0,경상남도,47223,0
5737,0,2021-03-16 00:00:00,113,0,제주특별자치도,5850,0
603451,0,2021-03-17 00:00:00,18283,0,전국,621734,0
102849,0,2021-03-17 00:00:00,3117,0,서울특별시,105966,0
46911,0,2021-03-17 00:00:00,1969,0,부산광역시,48880,0
29636,0,2021-03-17 00:00:00,447,0,대구광역시,30083,0
31305,0,2021-03-17 00:00:00,1057,0,인천광역시,32362,0
17895,0,2021-03-17 00:00:00,752,0,대전광역시,18647,0
25818,0,2021-03-17 00:00:00,455,0,광주광역시,26273,0
1146,0,2021-03-17 00:00:00,219,0,세종특별자치시,1365,0
130457,0,2021-03-17 00:00:00,4421,0,경기도,134878,0
10380,0,2021-03-17 00:00:00,909,0,울산광역시,11289,0
19234,0,2021-03-17 00:00:00,578,0,강원도,19812,0
17043,0,2021-03-17 00:00:00,319,0,충청북도,17362,0
26596,0,2021-03-17 00:00:00,349,0,충청남도,26945,0
27164,0,2021-03-17 00:00:00,432,0,전라북도,27596,0
30792,0,2021-03-17 00:00:00,683,0,전라남도,31475,0
33100,0,2021-03-17 00:00:00,1056,0,경상북도,34156,0
47275,0,2021-03-17 00:00:00,710,0,경상남도,47985,0
5850,0,2021-03-17 00:00:00,810,0,제주특별자치도,6660,0
622598,0,2021-03-18 00:00:00,18733,0,전국,641331,0
106182,0,2021-03-18 00:00:00,3354,0,서울특별시,109536,0
49352,0,2021-03-18 00:00:00,1636,0,부산광역시,50988,0
30095,0,2021-03-18 00:00:00,1045,0,대구광역시,31140,0
32363,0,2021-03-18 00:00:00,1657,0,인천광역시,34020,0
26273,0,2021-03-18 00:00:00,335,0,광주광역시,26608,0
11311,0,2021-03-18 00:00:00,864,0,울산광역시,12175,0
18647,0,2021-03-18 00:00:00,1343,0,대전광역시,19990,0
134938,0,2021-03-18 00:00:00,3394,0,경기도,138332,0
1365,0,2021-03-18 00:00:00,235,0,세종특별자치시,1600,0
19863,0,2021-03-18 00:00:00,275,0,강원도,20138,0
17362,0,2021-03-18 00:00:00,1003,0,충청북도,18365,0
26945,0,2021-03-18 00:00:00,127,0,충청남도,27072,0
27597,0,2021-03-18 00:00:00,501,0,전라북도,28098,0
31489,0,2021-03-18 00:00:00,722,0,전라남도,32211,0
34157,0,2021-03-18 00:00:00,1042,0,경상북도,35199,0
47998,0,2021-03-18 00:00:00,582,0,경상남도,48580,0
6661,0,2021-03-18 00:00:00,618,0,제주특별자치도,7279,0
641974,0,2021-03-19 00:00:00,17501,0,전국,659475,0
109947,0,2021-03-19 00:00:00,3002,0,서울특별시,112949,0
51017,0,2021-03-19 00:00:00,1349,0,부산광역시,52366,0
31143,0,2021-03-19 00:00:00,768,0,대구광역시,31911,0
34072,0,2021-03-19 00:00:00,1714,0,인천광역시,35786,0
26608,0,2021-03-19 00:00:00,382,0,광주광역시,26990,0
12175,0,2021-03-19 00:00:00,735,0,울산광역시,12910,0
1600,0,2021-03-19 00:00:00,189,0,세종특별자치시,1789,0
19990,0,2021-03-19 00:00:00,1082,0,대전광역시,21072,0
20139,0,2021-03-19 00:00:00,548,0,강원도,20687,0
138442,0,2021-03-19 00:00:00,3086,0,경기도,141528,0
18368,0,2021-03-19 00:00:00,1142,0,충청북도,19510,0
27073,0,2021-03-19 00:00:00,403,0,충청남도,27476,0
28098,0,2021-03-19 00:00:00,471,0,전라북도,28569,0
32224,0,2021-03-19 00:00:00,539,0,전라남도,32763,0
35219,0,2021-03-19 00:00:00,849,0,경상북도,36068,0
48580,0,2021-03-19 00:00:00,618,0,경상남도,49198,0
7279,0,2021-03-19 00:00:00,624,0,제주특별자치도,7903,0
660294,0,2021-03-20 00:00:00,15132,0,전국,675426,0
113075,0,2021-03-20 00:00:00,3935,0,서울특별시,117010,0
52370,0,2021-03-20 00:00:00,1208,0,부산광역시,53578,0
31912,0,2021-03-20 00:00:00,670,0,대구광역시,32582,0
35788,0,2021-03-20 00:00:00,1672,0,인천광역시,37460,0
21081,0,2021-03-20 00:00:00,517,0,대전광역시,21598,0
26993,0,2021-03-20 00:00:00,395,0,광주광역시,27388,0
1789,0,2021-03-20 00:00:00,106,0,세종특별자치시,1895,0
141952,0,2021-03-20 00:00:00,2390,0,경기도,144342,0
12931,0,2021-03-20 00:00:00,790,0,울산광역시,13721,0
20687,0,2021-03-20 00:00:00,498,0,강원도,21185,0
19511,0,2021-03-20 00:00:00,874,0,충청북도,20385,0
27477,0,2021-03-20 00:00:00,103,0,충청남도,27580,0
28569,0,2021-03-20 00:00:00,342,0,전라북도,28911,0
32778,0,2021-03-20 00:00:00,369,0,전라남도,33147,0
36083,0,2021-03-20 00:00:00,441,0,경상북도,36524,0
49367,0,2021-03-20 00:00:00,522,0,경상남도,49889,0
7931,0,2021-03-20 00:00:00,300,0,제주특별자치도,8231,0
675648,0,2021-03-21 00:00:00,939,313,전국,676587,313
117035,0,2021-03-21 00:00:00,13,313,서울특별시,117048,313
53584,0,2021-03-21 00:00:00,46,0,부산광역시,53630,0
32631,0,2021-03-21 00:00:00,223,0,대구광역시,32854,0
37469,0,2021-03-21 00:00:00,382,0,인천광역시,37851,0
27388,0,2021-03-21 00:00:00,0,0,광주광역시,27388,0
13721,0,2021-03-21 00:00:00,0,0,울산광역시,13721,0
21598,0,2021-03-21 00:00:00,194,0,대전광역시,21792,0
1895,0,2021-03-21 00:00:00,0,0,세종특별자치시,1895,0
144403,0,2021-03-21 00:00:00,59,0,경기도,144462,0
21185,0,2021-03-21 00:00:00,0,0,강원도,21185,0
