text
"태어나 처음으로 접해본 홍콩영화! 기대했던만큼의 재미가 없었다. 내가 이때의 감성을 이해하지 못하는 걸까..? 하지만 양조위의 눈빛과 분위기, 홍콩의 풍경등 영상미가 좋았다. 스토리만 더 매끄러웠다면 참 좋았을 영화."
양조위 눈빛얼굴 금성무 얼굴 당연히...미장센... 그리고 스토리.... 난 그냥 인생 영화난 이영화보고 아직 처음이자 마지막 해외여행이 홍콩
이별은 유통기한이 없다
미장센이 모든걸 압도한다.
당신을 기다리는만큼 더 당신을 사랑합니다.
""
솔직히 난 김빠진 콜라같아 메타포나 여러해석을 봐도 김빠진콜라
영화가 난해한 면이 없잖아 있지만 뭔가 90년대 감성 물씬 나면서 볼만하다.
캘리포니아 드리밍 홍콩에 가보지도 않은 내가 캘리포니아를 그리워하고 숨막히는 습도를 그리워하게 돼
어디로 가고 싶은데요?당신이 원하는 곳으로요..
"태어나 처음으로 접해본 홍콩영화! 기대했던만큼의 재미가 없었다. 내가 이때의 감성을 이해하지 못하는 걸까..? 하지만 양조위의 눈빛과 분위기, 홍콩의 풍경등 영상미가 좋았다. 스토리만 더 매끄러웠다면 참 좋았을 영화."
양조위 눈빛얼굴 금성무 얼굴 당연히...미장센... 그리고 스토리.... 난 그냥 인생 영화난 이영화보고 아직 처음이자 마지막 해외여행이 홍콩
이별은 유통기한이 없다
미장센이 모든걸 압도한다.
당신을 기다리는만큼 더 당신을 사랑합니다.
""
솔직히 난 김빠진 콜라같아 메타포나 여러해석을 봐도 김빠진콜라
영화가 난해한 면이 없잖아 있지만 뭔가 90년대 감성 물씬 나면서 볼만하다.
캘리포니아 드리밍 홍콩에 가보지도 않은 내가 캘리포니아를 그리워하고 숨막히는 습도를 그리워하게 돼
어디로 가고 싶은데요?당신이 원하는 곳으로요..
"태어나 처음으로 접해본 홍콩영화! 기대했던만큼의 재미가 없었다. 내가 이때의 감성을 이해하지 못하는 걸까..? 하지만 양조위의 눈빛과 분위기, 홍콩의 풍경등 영상미가 좋았다. 스토리만 더 매끄러웠다면 참 좋았을 영화."
양조위 눈빛얼굴 금성무 얼굴 당연히...미장센... 그리고 스토리.... 난 그냥 인생 영화난 이영화보고 아직 처음이자 마지막 해외여행이 홍콩
