날짜,시간,지역,Latitude,Longitude
2021/02/23,16:38:40,[속초시청],38.2070173,128.5918624
2021/02/23,16:38:04,[속초시청],38.2070173,128.5918624
2021/02/24,15:57:19,[성남시청],37.4200958,127.126659
2021/02/24,13:07:50,[정선군청],37.3806165,128.6608674
2021/02/24,8:19:18,[정선군청],37.3806165,128.6608674
2021/02/25,11:07:49,[고창군청],35.435788,126.702109
2021/02/26,16:03:32,[괴산군청],36.8153352,127.7866624
2021/02/26,8:43:59,[충주시청],36.9909318,127.9257875
2021/02/27,15:27:34,[포항시청],36.0191816,129.3432983
2021/02/27,10:49:06,[청양군청],36.4591572,126.8022596
2021/02/27,10:16:38,[완도군청],34.3109776,126.7550754
2021/02/27,9:40:26,[남동구청],37.4470653,126.7314616
2021/03/01,11:25:46,[청양군청],36.4591572,126.8022596
2021/03/01,8:34:07,[정선군청],37.3806165,128.6608674
2021/03/02,12:06:00,[강릉시청],37.7519967,128.8759524
2021/03/04,17:10:06,[도봉구청],37.6687735,127.047071
2021/03/04,9:20:43,[청양군청],36.4591572,126.8022596
2021/03/04,8:12:57,[정선군청],37.3806165,128.6608674
2021/03/06,12:02:21,[강릉시청],37.7519967,128.8759524
2021/03/07,19:59:30,[정선군청],37.3806165,128.6608674
2021/03/07,18:16:48,[제천시청],37.1325821,128.1909478
2021/03/09,18:36:21,[강릉시청],37.7519967,128.8759524
2021/03/09,17:54:24,[태백시청],37.1640654,128.9855649
2021/03/09,13:27:00,[원주시청],37.3420473,127.91973
2021/03/10,17:00:01,[완도군청],34.3109776,126.7550754
2021/03/10,14:34:48,[단양군청],36.9846588,128.3654631
2021/03/10,11:16:27,[이천시청],37.2722456,127.4350445
2021/03/11,22:14:23,[평창군청],37.3707415,128.390338
2021/03/11,17:49:57,[구례군청],35.2025,127.4627778
2021/03/11,15:34:15,[진도군청],34.48681,126.263562
2021/03/11,11:11:27,[평창군청],37.3707415,128.390338
2021/03/12,20:38:28,[평창군청],37.3707415,128.390338
2021/03/12,17:35:55,[강릉시청],37.7519967,128.8759524
2021/03/12,12:51:15,[동해시청],37.524709,129.1142917
2021/03/12,12:32:47,[평창군청],37.3707415,128.390338
2021/03/12,12:22:52,[태백시청],37.1640654,128.9855649
2021/03/12,11:19:32,[강릉시청],37.7519967,128.8759524
2021/03/12,10:45:53,[평창군청],37.3707415,128.390338
2021/03/12,9:27:16,[평창군청],37.3707415,128.390338
2021/03/12,9:18:32,[담양군청],35.3212228,126.9882508
2021/03/12,8:49:29,[제천시청],37.1325821,128.1909478
2021/03/13,14:44:07,[도봉구청],37.6687735,127.047071
2021/03/13,13:21:00,[강릉시청],37.7519967,128.8759524
2021/03/13,11:06:57,[양산시청],35.3350077,129.0370575
2021/03/13,10:32:20,[김해시청],35.2286634,128.8893494
2021/03/13,10:31:53,[김해시청],35.2286634,128.8893494
2021/03/13,10:27:30,[성남시청],37.4200958,127.126659
2021/03/13,9:52:25,[남동구청],37.4470653,126.7314616
2021/03/14,16:44:14,[구례군청],35.2025,127.4627778
2021/03/14,9:00:53,[남동구청],37.4470653,126.7314616
2021/03/15,17:44:52,[평택시],36.9921075,127.1129451
2021/03/15,11:43:57,[장성군청],35.3018328,126.784854
2021/03/16,16:07:38,[계양구청],37.537367,126.737744
2021/03/16,10:37:33,[장흥군청],34.681603,126.90708
2021/03/16,9:51:31,[담양군청],35.3212228,126.9882508
2021/03/17,13:43:47,[예산군청],36.6826123,126.8483951
2021/03/17,13:30:46,[장성군청],35.3018328,126.784854
2021/03/17,11:54:10,[예산군청],36.6826123,126.8483951
2021/03/17,11:45:39,[예산군청],36.6826123,126.8483951
2021/03/17,11:19:30,[진주시청],35.1803062,128.1087476
2021/03/18,9:26:09,[장흥군청],34.681603,126.90708
2021/03/19,11:32:29,[정선군청],37.3806165,128.6608674
2021/03/19,9:12:31,[원주시청],37.3420473,127.91973
2021/03/20,13:39:04,[거제시청],34.8805111,128.6212128
2021/03/20,13:37:07,[거제시청],34.8805111,128.6212128
2021/03/20,13:20:37,[거제시청],34.8805111,128.6212128
2021/03/20,11:02:56,[진주시청],35.1803062,128.1087476
2021/03/21,12:18:34,[고성군청],38.3806296,128.4678275
2021/03/24,16:39:13,[원주시청],37.3420473,127.91973
2021/03/24,13:07:23,[원주시청],37.3420473,127.91973
2021/03/24,11:01:21,[속초시청],38.2070173,128.5918624
2021/03/24,10:50:31,[속초시청],38.2070173,128.5918624
2021/03/25,17:34:15,[진주시청,35.1803062,128.1087476
2021/03/25,11:55:03,[속초시청],38.2070173,128.5918624
2021/03/25,11:54:45,[속초시청],38.2070173,128.5918624
2021/03/25,10:58:28,[원주시청],37.3420473,127.91973
2021/03/26,18:51:41,[음성군청],36.940235,127.6905015
2021/03/26,15:33:49,[부평구청],37.5067667,126.7218573
2021/03/26,11:15:43,[원주시청],37.3420473,127.91973
2021/03/27,14:50:51,[동구청],35.8866013,128.6355799
2021/03/27,12:55:39,[부산진구청],35.1631476,129.0530152
2021/03/27,10:24:20,[부산시],35.1795543,129.0756416
2021/03/28,9:07:27,[남동구청],37.4470653,126.7314616
2021/03/29,16:10:31,[부산진구청],35.1631476,129.0530152
2021/03/29,14:39:49,[영도구청],35.0912037,129.0678947
2021/03/31,9:00:13,[담양군청],35.3212228,126.9882508
2021/04/01,11:17:10,[옥천군청],36.306364,127.5712805
2021/04/04,18:13:07,[부천시청],37.504681,126.763618
2021/04/04,17:26:39,[인제군청],38.069536,128.169734
2021/04/04,7:39:07,[순창군청],35.3744256,127.1375012
2021/04/07,7:00:45,[부천시청],37.504681,126.763618
2021/04/08,14:27:56,[성남시청],37.4200958,127.126659
2021/04/09,14:51:53,[노원구청],37.6541917,127.056793
2021/04/12,16:42:17,[구미시청],36.119624,128.344295
2021/04/12,15:22:38,[장성군청],35.3018328,126.784854
2021/04/14,16:57:51,[고양시청],37.6582159,126.8320138
2021/04/15,18:16:56,[고양시청],37.6582159,126.8320138
2021/04/15,17:00:32,[담양군청],35.3212228,126.9882508
2021/04/16,13:09:34,[용산구청],37.5325896,126.9900429
2021/04/16,10:42:23,[창녕군청],35.5445928,128.492328
2021/04/17,10:25:17,[예산군청],36.6826123,126.8483951
2021/04/17,8:16:12,[담양군청],35.3212228,126.9882508
2021/04/19,17:36:53,[고양시청],37.6582159,126.8320138
2021/04/19,14:06:38,[의정부시청],37.738089,127.033733
2021/04/20,7:05:34,[부천시청],37.504681,126.763618
2021/04/20,7:05:15,[부천시청],37.504681,126.763618
2021/04/21,15:13:40,[성남시청],37.4200958,127.126659
2021/04/22,15:09:17,[고양시청],37.6582159,126.8320138
2021/04/23,17:57:26,[성남시청],37.4200958,127.126659
2021/04/23,11:36:22,[성남시청],37.4200958,127.126659
2021/04/23,9:42:26,[안동시청],36.568431,128.729554
2021/04/23,8:05:29,[옥천군청],36.306364,127.5712805
2021/04/23,8:03:17,[옥천군청],36.306364,127.5712805
2021/04/23,7:17:56,[부천시청],37.504681,126.763618
2021/04/26,15:45:25,[고양시청],37.6582159,126.8320138
2021/04/26,12:09:26,[부산진구청],35.1631476,129.0530152
2021/04/27,18:54:15,[중랑구청],37.60656,127.092624
2021/04/27,17:47:21,[원주시청],37.3420473,127.91973
2021/04/27,13:23:52,[안동시청],36.568431,128.729554
2021/04/28,15:54:19,[청주시청],36.6418421,127.4887647
2021/04/28,15:34:49,[청주시청],36.6418421,127.4887647
